#roi_key,roi_name,roi_latitudes,roi_longitudes_east
JUICE_ROI_GAN_4_5_04,Bigeh Facula,[26. 26. 32. 32.],[262. 269. 269. 262.]
JUICE_ROI_GAN_4_5_05,None,[-3. -3.  6.  6.],[359.   8.   8. 359.]
JUICE_ROI_GAN_4_5_06,Gad,[-19. -19. -10. -10.],[218. 227. 227. 218.]
JUICE_ROI_GAN_4_5_07,Busiris,[10. 10. 24. 24.],[138. 148. 148. 138.]
JUICE_ROI_GAN_4_5_08,Coptos,[ 6.  6. 16. 16.],[148. 156. 156. 148.]
JUICE_ROI_GAN_4_5_09,Zakar,[26. 26. 36. 36.],[20. 30. 30. 20.]
JUICE_ROI_GAN_4_6_01,Gilga-Mesh,[-75. -75. -49. -49.],[216. 251. 251. 216.]
JUICE_ROI_GAN_4_6_02,Ninki,[-12. -12.  -2.  -2.],[233. 245. 245. 233.]
JUICE_ROI_GAN_4_6_03,None,[46. 46. 70. 70.],[267. 298. 298. 267.]
JUICE_ROI_GAN_4_7_01,Terah Catena,[ 2.  2. 12. 12.],[76. 89. 89. 76.]
JUICE_ROI_GAN_4_7_02,None,[ 6.  6. 15. 15.],[270. 282. 282. 270.]
JUICE_ROI_GAN_4_7_03,Enki Catena,[34. 34. 42. 42.],[340. 353. 353. 340.]
JUICE_ROI_GAN_4_7_04,Nanshe Catena,[12. 12. 20. 20.],[ 2. 10. 10.  2.]
JUICE_ROI_GAN_5_0_01,Amon,[26. 26. 40. 40.],[132. 146. 146. 132.]
JUICE_ROI_GAN_5_0_02,Tros,[ 5.  5. 21. 21.],[324. 340. 340. 324.]
JUICE_ROI_GAN_5_0_03,Punt,[-33. -33. -17. -17.],[109. 130. 130. 109.]
JUICE_ROI_GAN_5_0_04,None,[38. 38. 46. 46.],[13. 25. 25. 13.]
JUICE_ROI_GAN_5_0_05,Apophis,[-12. -12.  -4.  -4.],[80. 88. 88. 80.]
JUICE_ROI_GAN_5_0_06,Haroeris/Ta-Urt,[21. 21. 34. 34.],[49. 69. 69. 49.]
JUICE_ROI_GAN_5_0_07,None,[-2.5 -2.5  3.5  3.5],[348. 355. 355. 348.]
JUICE_ROI_GAN_5_0_08,Shu,[38. 38. 49. 49.],[358.   8.   8. 358.]
JUICE_ROI_GAN_5_0_09,Selket,[ 9.  9. 22. 22.],[247. 261. 261. 247.]
JUICE_ROI_GAN_5_0_10,Achelous,[57. 57. 66. 66.],[341. 356. 356. 341.]
